;Competencia en Matemáticas;Competencia en Ciencias;Competencia Lengua;Competencia Global;CCAA;Vandalismo;Templeo;Tparo
0;473.0;477.0;473.0;507.0;1;14.9;43.8;23.0
1;501.0;497.0;494.0;531.0;2;9.9;52.4;10.6
2;494.0;499.0;498.0;530.0;3;5.1;43.9;13.6
3;487.0;486.0;483.0;518.0;4;9.4;57.0;11.5
4;463.0;472.0;474.0;503.0;5;9.7;48.3;20.1
5;505.0;501.0;489.0;533.0;6;4.3;49.0;10.7
6;506.0;504.0;501.0;538.0;7;6.2;47.9;12.1
7;483.0;488.0;482.0;516.0;8;6.8;48.1;18.2
8;492.0;491.0;487.0;517.0;9;11.1;54.2;11.5
9;474.0;478.0;469.0;504.0;10;2.5;42.2;23.6
10;501.0;512.0;496.0;523.0;11;7.6;46.2;13.3
11;497.0;486.0;466.0;512.0;12;6.8;53.0;10.4
12;501.0;499.0;487.0;533.0;13;17.6;55.2;12.2
13;483.0;488.0;491.0;528.0;14;10.7;49.4;16.8
14;507.0;496.0;476.0;524.0;15;7.7;53.2;10.0
15;499.0;488.0;476.0;516.0;16;9.5;50.7;10.0
16;478.0;482.0;477.0;511.0;17;6.8;49.4;15.6
17;426.0;431.0;422.0;453.0;18;6.0;41.7;29.0
18;447.0;452.0;452.0;486.0;19;21.1;46.6;25.8
